Date,Confirmed,Deaths,Recovered,Province/State
2020-01-25 17:00:00,27.0,0.0,0.0,Shandong
2020-01-25 17:00:00,23.0,0.0,0.0,Guangxi
2020-01-25 17:00:00,19.0,0.0,0.0,Hainan
2020-01-25 17:00:00,18.0,0.0,0.0,Jiangxi
2020-01-25 17:00:00,18.0,0.0,0.0,Fujian
2020-01-25 17:00:00,18.0,0.0,1.0,Jiangsu
2020-01-25 17:00:00,17.0,0.0,0.0,Liaoning
2020-01-25 17:00:00,15.0,0.0,0.0,Shaanxi
2020-01-25 17:00:00,11.0,0.0,0.0,Yunnan
2020-01-25 17:00:00,10.0,0.0,0.0,Tianjin
2020-01-25 17:00:00,9.0,1.0,0.0,Heilongjiang
2020-01-25 17:00:00,8.0,1.0,0.0,Hebei
2020-01-25 17:00:00,7.0,0.0,0.0,Inner Mongolia
2020-01-25 17:00:00,6.0,0.0,0.0,Shanxi
2020-01-25 17:00:00,4.0,0.0,0.0,Guizhou
2020-01-25 17:00:00,4.0,0.0,0.0,Jilin
2020-01-25 17:00:00,4.0,0.0,0.0,Gansu
2020-01-25 17:00:00,3.0,0.0,0.0,Ningxia
2020-01-25 17:00:00,3.0,0.0,0.0,Xinjiang
2020-01-25 17:00:00,1.0,0.0,0.0,Qinghai
2020-01-26 16:00:00,1058.0,52.0,42.0,Hubei
2020-01-26 16:00:00,111.0,0.0,2.0,Guangdong
2020-01-26 16:00:00,104.0,0.0,1.0,Zhejiang
2020-01-26 16:00:00,83.0,1.0,0.0,Henan
2020-01-26 16:00:00,75.0,0.0,0.0,Chongqing
2020-01-26 16:00:00,69.0,0.0,0.0,Hunan
2020-01-26 16:00:00,68.0,0.0,2.0,Beijing
2020-01-26 16:00:00,60.0,0.0,0.0,Anhui
2020-01-26 16:00:00,46.0,0.0,0.0,Shandong
2020-01-26 16:00:00,44.0,0.0,0.0,Sichuan
2020-01-26 16:00:00,40.0,1.0,1.0,Shanghai
2020-01-26 16:00:00,36.0,0.0,0.0,Guangxi
2020-01-26 16:00:00,36.0,0.0,0.0,Jiangxi
2020-01-26 16:00:00,35.0,0.0,0.0,Fujian
2020-01-26 16:00:00,33.0,0.0,1.0,Jiangsu
2020-01-26 16:00:00,22.0,0.0,0.0,Hainan
2020-01-26 16:00:00,22.0,0.0,0.0,Shaanxi
2020-01-26 16:00:00,21.0,0.0,0.0,Liaoning
2020-01-26 16:00:00,16.0,0.0,0.0,Yunnan
2020-01-26 16:00:00,15.0,1.0,0.0,Heilongjiang
2020-01-26 16:00:00,14.0,0.0,0.0,Tianjin
2020-01-26 16:00:00,13.0,1.0,0.0,Hebei
2020-01-26 16:00:00,9.0,0.0,0.0,Shanxi
2020-01-26 16:00:00,7.0,0.0,0.0,Inner Mongolia
2020-01-26 16:00:00,7.0,0.0,0.0,Gansu
2020-01-26 16:00:00,5.0,0.0,0.0,Guizhou
