Country,Province/State,Last Update,Confirmed,Deaths,Recovered,nDate
Mainland China,Liaoning,1/27/2020 20:30,27,0,0,27
Mainland China,Liaoning,1/24/2020 12:00,4,0,0,24
Mainland China,Liaoning,1/31/2020 19:00,60,0,1,31
Mainland China,Liaoning,2/3/2020 17:11,74,0,1,34
Mainland China,Liaoning,1/30/2020 21:30,45,0,1,30
Mainland China,Shandong,1/23/2020 12:00,6,0,0,23
Mainland China,Shanghai,2/4/2020 0:13,208,1,10,35
Mainland China,Shandong,2/2/2020 1:03,225,0,5,33
Mainland China,Xinjiang,1/30/2020 21:30,17,0,0,30
Mainland China,Xinjiang,3/2/2020 1:13,24,0,0,36
Mainland China,Xinjiang,1/25/2020 12:00,4,0,0,25
Mainland China,Xinjiang,1/23/2020 12:00,2,0,0,23
Mainland China,Xinjiang,1/29/2020 21:00,14,0,0,29
Mainland China,Xinjiang,1/31/2020 19:00,17,0,0,31
Mainland China,Xinjiang,1/28/2020 23:00,13,0,0,28
Mainland China,Xinjiang,2/4/2020 1:33,29,0,0,35
Mainland China,Xinjiang,1/27/2020 20:30,5,0,0,27
Mainland China,Xinjiang,2/2/2020 0:43,21,0,0,33
Mainland China,Xinjiang,1/24/2020 12:00,2,0,0,24
Mainland China,Tibet,1/23/2020 12:00,0,0,0,23
Mainland China,Tibet,1/30/2020 21:30,1,0,0,30
Mainland China,Tibet,1/2/2020 1:52,1,0,0,2
Mainland China,Tibet,1/29/2020 21:00,1,0,0,29
Mainland China,Tibet,1/31/2020 19:00,1,0,0,31
Mainland China,Tibet,1/2/2020 1:52,1,0,0,2
Mainland China,Tianjin,1/26/2020 23:00,14,0,0,26
Mainland China,Tianjin,2/2/2020 9:43,48,0,1,33
Mainland China,Tianjin,1/30/2020 21:30,32,0,0,30
Mainland China,Tibet,2/1/2020 1:52,1,0,0,32
Mainland China,Tianjin,2/2/2020 2:03,45,0,0,33
Mainland China,Xinjiang,1/26/2020 23:00,5,0,0,26
Mainland China,Yunnan,1/31/2020 19:00,83,0,1,31
Mainland China,Zhejiang,1/29/2020 21:00,428,0,4,29
Mainland China,Zhejiang,1/27/2020 20:30,173,0,1,27
Mainland China,Zhejiang,1/26/2020 23:00,128,0,1,26
Mainland China,Zhejiang,1/28/2020 23:00,296,0,3,28
Mainland China,Zhejiang,1/25/2020 22:00,104,0,1,25
Mainland China,Zhejiang,1/23/2020 12:00,27,0,0,23
Mainland China,Zhejiang,1/24/2020 12:00,43,0,1,24
Mainland China,Zhejiang,1/31/2020 19:00,537,0,14,31
Mainland China,Zhejiang,3/2/2020 1:33,724,0,36,36
Mainland China,Yunnan,1/29/2020 21:00,55,0,0,29
Mainland China,Zhejiang,2/4/2020 1:43,829,0,48,35
Mainland China,Yunnan,2/3/2020 23:23,117,0,5,34
Mainland China,Yunnan,1/26/2020 23:00,19,0,0,26
Mainland China,Yunnan,1/25/2020 12:00,11,0,0,25
Mainland China,Yunnan,1/27/2020 20:30,26,0,0,27
Mainland China,Yunnan,2/2/2020 18:03,105,0,3,33
Mainland China,Yunnan,1/24/2020 12:00,5,0,0,24
Mainland China,Yunnan,1/28/2020 23:00,44,0,0,28
Mainland China,Yunnan,1/2/2020 15:53,93,0,2,2
Mainland China,Yunnan,1/30/2020 21:30,76,0,0,30
Mainland China,Yunnan,1/23/2020 12:00,2,0,0,23
Mainland China,Shandong,1/31/2020 19:00,184,0,2,31
Mainland China,Tianjin,1/23/2020 12:00,4,0,0,23
Mainland China,Tianjin,1/28/2020 23:00,25,0,0,28
Mainland China,Shanxi,1/27/2020 20:30,20,0,0,27
Mainland China,Shanxi,1/30/2020 21:30,39,0,1,30
Mainland China,Shanxi,1/23/2020 12:00,1,0,0,23
Mainland China,Shanxi,2/2/2020 23:23,66,0,3,33
Mainland China,Shanxi,1/24/2020 12:00,1,0,0,24
Mainland China,Shanghai,1/30/2020 21:30,128,1,9,30
Mainland China,Shanghai,1/31/2020 19:00,153,1,9,31
Mainland China,Shanghai,1/28/2020 23:00,80,1,4,28
Mainland China,Shanghai,1/29/2020 21:00,101,1,5,29
Mainland China,Shanxi,1/28/2020 23:00,27,0,0,28
Mainland China,Shanghai,1/24/2020 12:00,20,0,1,24
Mainland China,Shanghai,3/2/2020 0:03,193,1,10,36
Mainland China,Shanghai,1/26/2020 23:00,53,1,1,26
Mainland China,Shanghai,1/27/2020 20:30,66,1,3,27
Mainland China,Shanghai,1/23/2020 12:00,16,0,0,23
Mainland China,Shanghai,2/2/2020 0:23,177,1,10,33
