Last Update,Confirmed,Deaths,Latitude,Longitude,Province/State,Recovered
2020-02-22 17:03:05,7.0,0.0,,,From Diamond Princess,0.0
2020-02-21 05:43:02,5.0,0.0,,,Queensland,1.0
2020-02-13 17:53:03,4.0,0.0,,,New South Wales,4.0
2020-02-13 17:53:03,4.0,0.0,,,Victoria,4.0
2020-02-17 08:13:09,2.0,0.0,,,South Australia,2.0
2020-02-22 17:03:05,7.0,0.0,,,From Diamond Princess,0.0
2020-02-21 05:43:02,5.0,0.0,,,Queensland,1.0
2020-02-13 17:53:03,4.0,0.0,,,New South Wales,4.0
2020-02-13 17:53:03,4.0,0.0,,,Victoria,4.0
2020-02-17 08:13:09,2.0,0.0,,,South Australia,2.0
2020-02-22 17:03:05,7.0,0.0,,,From Diamond Princess,0.0
2020-02-21 05:43:02,5.0,0.0,,,Queensland,1.0
2020-02-13 17:53:03,4.0,0.0,,,New South Wales,4.0
2020-02-13 17:53:03,4.0,0.0,,,Victoria,4.0
2020-02-17 08:13:09,2.0,0.0,,,South Australia,2.0
2020-02-22 17:03:05,7.0,0.0,,,From Diamond Princess,0.0
2020-02-21 05:43:02,5.0,0.0,,,Queensland,1.0
2020-02-13 17:53:03,4.0,0.0,,,New South Wales,4.0
2020-02-13 17:53:03,4.0,0.0,,,Victoria,4.0
2020-02-17 08:13:09,2.0,0.0,,,South Australia,2.0
2020-02-22 17:03:05,7.0,0.0,,,From Diamond Princess,0.0
2020-02-21 05:43:02,5.0,0.0,,,Queensland,1.0
2020-02-13 17:53:03,4.0,0.0,,,New South Wales,4.0
2020-02-13 17:53:03,4.0,0.0,,,Victoria,4.0
2020-02-17 08:13:09,2.0,0.0,,,South Australia,2.0
2020-02-27 03:33:06,8.0,0.0,,,From Diamond Princess,0.0
2020-02-21 05:43:02,5.0,0.0,,,Queensland,1.0
2020-02-13 17:53:03,4.0,0.0,,,New South Wales,4.0
2020-02-13 17:53:03,4.0,0.0,,,Victoria,4.0
2020-02-17 08:13:09,2.0,0.0,,,South Australia,2.0
2020-02-27 03:33:06,8.0,0.0,,,From Diamond Princess,0.0
2020-02-21 05:43:02,5.0,0.0,,,Queensland,1.0
2020-02-13 17:53:03,4.0,0.0,,,New South Wales,4.0
2020-02-13 17:53:03,4.0,0.0,,,Victoria,4.0
2020-02-17 08:13:09,2.0,0.0,,,South Australia,2.0
2020-02-29 02:03:10,9.0,0.0,,,Queensland,1.0
2020-02-29 02:03:10,7.0,0.0,,,Victoria,4.0
2020-02-13 17:53:03,4.0,0.0,,,New South Wales,4.0
2020-02-29 02:03:10,3.0,0.0,,,South Australia,2.0
2020-02-29 23:13:06,2.0,0.0,,,Western Australia,0.0
2020-02-29 02:03:10,0.0,0.0,,,From Diamond Princess,0.0
2020-02-29 02:03:10,9.0,0.0,-28.0167,153.4,Queensland,1.0
2020-02-29 02:03:10,7.0,0.0,-37.8136,144.9631,Victoria,4.0
2020-03-01 23:33:03,6.0,0.0,-33.8688,151.2093,New South Wales,4.0
2020-02-29 02:03:10,3.0,0.0,-34.9285,138.6007,South Australia,2.0
2020-03-01 02:43:03,2.0,1.0,-31.9505,115.8605,Western Australia,0.0
2020-02-29 02:03:10,0.0,0.0,35.4437,139.638,From Diamond Princess,0.0
2020-02-29 02:03:10,9.0,0.0,-28.0167,153.4,Queensland,1.0
2020-03-02 00:53:03,9.0,0.0,-37.8136,144.9631,Victoria,4.0
