Last Update,Confirmed,Deaths,Latitude,Longitude,Province/State,Recovered
2020-02-01T19:43:03,1.0,0.0,,,"Boston, MA",0.0
2020-02-01T19:53:03,1.0,0.0,,,"Los Angeles, CA",0.0
2020-02-05T21:53:02,1.0,0.0,,,"Madison, WI",0.0
2020-02-01T19:53:03,1.0,0.0,,,"Orange, CA",0.0
2020-02-09T07:03:04,1.0,0.0,,,"Seattle, WA",1.0
2020-02-01T19:43:03,1.0,0.0,,,"Tempe, AZ",0.0
2020-02-09T19:03:03,2.0,0.0,,,"Chicago, IL",2.0
2020-02-03T03:53:02,2.0,0.0,,,"San Benito, CA",0.0
2020-02-03T00:43:02,2.0,0.0,,,"Santa Clara, CA",0.0
2020-02-01T19:43:03,1.0,0.0,,,"Boston, MA",0.0
2020-02-01T19:53:03,1.0,0.0,,,"Los Angeles, CA",0.0
2020-02-05T21:53:02,1.0,0.0,,,"Madison, WI",0.0
2020-02-01T19:53:03,1.0,0.0,,,"Orange, CA",0.0
2020-02-09T07:03:04,1.0,0.0,,,"Seattle, WA",1.0
2020-02-01T19:43:03,1.0,0.0,,,"Tempe, AZ",0.0
2020-02-09T19:03:03,2.0,0.0,,,"Chicago, IL",2.0
2020-02-03T03:53:02,2.0,0.0,,,"San Benito, CA",0.0
2020-02-03T00:43:02,2.0,0.0,,,"Santa Clara, CA",0.0
2020-02-01T19:43:03,1.0,0.0,,,"Boston, MA",0.0
2020-02-01T19:53:03,1.0,0.0,,,"Los Angeles, CA",0.0
2020-02-05T21:53:02,1.0,0.0,,,"Madison, WI",0.0
2020-02-01T19:53:03,1.0,0.0,,,"Orange, CA",0.0
2020-02-11T01:23:05,1.0,0.0,,,"San Diego County, CA",0.0
2020-02-09T07:03:04,1.0,0.0,,,"Seattle, WA",1.0
2020-02-01T19:43:03,1.0,0.0,,,"Tempe, AZ",0.0
2020-02-09T19:03:03,2.0,0.0,,,"Chicago, IL",2.0
2020-02-03T03:53:02,2.0,0.0,,,"San Benito, CA",0.0
2020-02-03T00:43:02,2.0,0.0,,,"Santa Clara, CA",0.0
2020-02-01T19:43:03,1.0,0.0,,,"Boston, MA",0.0
2020-02-01T19:53:03,1.0,0.0,,,"Los Angeles, CA",0.0
2020-02-05T21:53:02,1.0,0.0,,,"Madison, WI",0.0
2020-02-01T19:53:03,1.0,0.0,,,"Orange, CA",0.0
2020-02-11T01:23:05,1.0,0.0,,,"San Diego County, CA",0.0
2020-02-09T07:03:04,1.0,0.0,,,"Seattle, WA",1.0
2020-02-01T19:43:03,1.0,0.0,,,"Tempe, AZ",0.0
2020-02-09T19:03:03,2.0,0.0,,,"Chicago, IL",2.0
2020-02-03T03:53:02,2.0,0.0,,,"San Benito, CA",0.0
2020-02-13T03:13:08,2.0,0.0,,,"San Diego County, CA",0.0
2020-02-03T00:43:02,2.0,0.0,,,"Santa Clara, CA",0.0
2020-02-01T19:43:03,1.0,0.0,,,"Boston, MA",0.0
2020-02-01T19:53:03,1.0,0.0,,,"Los Angeles, CA",0.0
2020-02-05T21:53:02,1.0,0.0,,,"Madison, WI",0.0
2020-02-01T19:53:03,1.0,0.0,,,"Orange, CA",0.0
2020-02-13T18:53:02,1.0,0.0,,,"San Antonio, TX",0.0
2020-02-09T07:03:04,1.0,0.0,,,"Seattle, WA",1.0
2020-02-01T19:43:03,1.0,0.0,,,"Tempe, AZ",0.0
2020-02-09T19:03:03,2.0,0.0,,,"Chicago, IL",2.0
2020-02-03T03:53:02,2.0,0.0,,,"San Benito, CA",0.0
2020-02-13T03:13:08,2.0,0.0,,,"San Diego County, CA",0.0
2020-02-03T00:43:02,2.0,0.0,,,"Santa Clara, CA",0.0
2020-02-01T19:43:03,1.0,0.0,,,"Boston, MA",0.0
2020-02-01T19:53:03,1.0,0.0,,,"Los Angeles, CA",0.0
2020-02-05T21:53:02,1.0,0.0,,,"Madison, WI",0.0
2020-02-01T19:53:03,1.0,0.0,,,"Orange, CA",0.0
2020-02-13T18:53:02,1.0,0.0,,,"San Antonio, TX",0.0
2020-02-09T07:03:04,1.0,0.0,,,"Seattle, WA",1.0
2020-02-01T19:43:03,1.0,0.0,,,"Tempe, AZ",0.0
2020-02-09T19:03:03,2.0,0.0,,,"Chicago, IL",2.0
2020-02-03T03:53:02,2.0,0.0,,,"San Benito, CA",0.0
2020-02-13T03:13:08,2.0,0.0,,,"San Diego County, CA",0.0
2020-02-03T00:43:02,2.0,0.0,,,"Santa Clara, CA",0.0
2020-02-01T19:43:03,1.0,0.0,,,"Boston, MA",0.0
2020-02-01T19:53:03,1.0,0.0,,,"Los Angeles, CA",0.0
2020-02-05T21:53:02,1.0,0.0,,,"Madison, WI",0.0
2020-02-01T19:53:03,1.0,0.0,,,"Orange, CA",0.0
