,Unnamed: 0,Province/State,Country,Last Update,Confirmed,Deaths,Recovered,nDate,lat,lon
74,76,Xinjiang,Mainland China,1/24/2020 12:00,2,0,0,24,41.7574769,87.16738423
75,77,Shanxi,Mainland China,1/24/2020 12:00,1,0,0,24,37,112
76,78,Inner Mongolia,Mainland China,1/24/2020 12:00,1,0,0,24,43.2443242,114.3251664
77,79,Qinghai,Mainland China,1/24/2020 12:00,0,0,0,24,35.40709525,95.95211573
78,80,missing_value,Japan,1/24/2020 12:00,2,0,0,24,0,0
79,81,missing_value,Thailand,1/24/2020 12:00,5,0,0,24,0,0
80,82,missing_value,South Korea,1/24/2020 12:00,2,0,0,24,0,0
81,83,missing_value,Singapore,1/24/2020 12:00,3,0,0,24,0,0
82,84,Shanghai,Mainland China,1/25/2020 12:00,40,1,1,25,31.2322758,121.4692071
83,85,Shandong,Mainland China,1/25/2020 12:00,39,0,0,25,36.0000001,118.9999999
84,86,Jiangxi,Mainland China,1/25/2020 12:00,36,0,0,25,28,116
85,87,Fujian,Mainland China,1/25/2020 12:00,18,1,0,25,26.5450001,117.842778
86,88,Heilongjiang,Mainland China,1/25/2020 12:00,15,0,0,25,48.0000047,127.999992
87,89,Shaanxi,Mainland China,1/25/2020 12:00,15,0,0,25,36,109
88,90,Yunnan,Mainland China,1/25/2020 12:00,11,0,0,25,25,102
89,91,Shanxi,Mainland China,1/25/2020 12:00,9,0,0,25,37,112
90,92,Gansu,Mainland China,1/25/2020 12:00,7,0,0,25,38.0000001,101.9999999
91,93,Guizhou,Mainland China,1/25/2020 12:00,5,0,0,25,27,107
92,94,Hong Kong,Hong Kong,1/25/2020 12:00,5,0,0,25,22.2793278,114.1628131
93,95,Ningxia,Mainland China,1/25/2020 12:00,4,0,0,25,37.0000001,105.9999999
94,96,Jilin,Mainland China,1/25/2020 12:00,4,0,0,25,42.9995032,125.9816054
95,97,Xinjiang,Mainland China,1/25/2020 12:00,4,0,0,25,41.7574769,87.16738423
96,98,Taiwan,Taiwan,1/25/2020 12:00,3,0,0,25,23.9739374,120.9820179
97,99,Macau,Macau,1/25/2020 12:00,2,0,0,25,22.1757605,113.5514142
98,100,missing_value,Japan,1/25/2020 12:00,2,0,0,25,0,0
99,101,missing_value,Thailand,1/25/2020 12:00,7,0,0,25,0,0
100,102,missing_value,South Korea,1/25/2020 12:00,3,0,0,25,0,0
101,103,missing_value,Singapore,1/25/2020 12:00,3,0,0,25,0,0
102,104,missing_value,Vietnam,1/25/2020 12:00,2,0,0,25,0,0
103,105,missing_value,Australia,1/25/2020 12:00,4,0,0,25,0,0
104,106,Sichuan,Mainland China,1/26/2020 23:00,69,0,0,26,30.5000001,102.4999999
105,107,Jiangsu,Mainland China,1/26/2020 23:00,47,0,1,26,33.0000001,119.9999999
106,108,Shaanxi,Mainland China,1/26/2020 23:00,22,0,0,26,36,109
107,109,Heilongjiang,Mainland China,1/26/2020 23:00,21,1,0,26,48.0000047,127.999992
108,110,Yunnan,Mainland China,1/26/2020 23:00,19,0,0,26,25,102
109,111,Shanxi,Mainland China,1/26/2020 23:00,13,0,0,26,37,112
110,112,Inner Mongolia,Mainland China,1/26/2020 23:00,11,0,0,26,43.2443242,114.3251664
111,113,Jilin,Mainland China,1/26/2020 23:00,6,0,0,26,42.9995032,125.9816054
112,114,Macau,Macau,1/26/2020 23:00,6,0,0,26,22.1757605,113.5514142
113,115,Xinjiang,Mainland China,1/26/2020 23:00,5,0,0,26,41.7574769,87.16738423
114,116,Ningxia,Mainland China,1/26/2020 23:00,4,0,0,26,37.0000001,105.9999999
115,117,Taiwan,Taiwan,1/26/2020 23:00,4,0,0,26,23.9739374,120.9820179
116,118,Qinghai,Mainland China,1/26/2020 23:00,4,0,0,26,35.40709525,95.95211573
117,119,missing_value,Japan,1/26/2020 23:00,4,0,1,26,0,0
118,120,missing_value,South Korea,1/26/2020 23:00,3,0,0,26,0,0
119,121,missing_value,Singapore,1/26/2020 23:00,4,0,0,26,0,0
120,122,missing_value,Vietnam,1/26/2020 23:00,2,0,0,26,0,0
121,123,missing_value,Australia,1/26/2020 23:00,4,0,0,26,0,0
122,124,Jiangsu,Mainland China,1/27/2020 20:30,70,0,1,27,33.0000001,119.9999999
123,125,Hebei,Mainland China,1/27/2020 20:30,33,1,0,27,39.0000001,116
124,126,Heilongjiang,Mainland China,1/27/2020 20:30,30,1,0,27,48.0000047,127.999992
